I	ОСНОВНЫЕ ЭКОНОМИЧЕСКИЕ И СОЦИАЛЬНЫЕ ПОКАЗАТЕЛИ
	Октябрь 2017г.	В % к	Январь- октябрь 2017г. в % к январю- октябрю 2016г.	Справочно			
		октябрю 2016г.	сентябрю 2017г.		октябрь 2016г. в % к	январь- октябрь 2016г. в % к январю- октябрю 2015г.	
					октябрю 2015г.	сентябрю 2016г.	
Валовой внутренний продукт		101,61),2)			99,63)		
Индекс выпуска товаров и услуг по базовым видам экономической деятельности		100,5	96,2	102,0	100,7	98,1	100,5
Индекс промышленного производства4)		100,0	105,7	101,6	101,6	106,6	101,2
Продукция сельского хозяйства, млрд.рублей	733,8	97,5	64,7	102,9	104,3	72,0	104,6
Грузооборот транспорта, млрд.т-км	486,9	106,4	107,5	106,7	99,5	104,1	101,5
в том числе железнодорожного транспорта	215,0	105,9	105,5	106,5	102,0	104,0	101,6
Объем услуг в сфере телекоммуникаций, млрд.рублей	138,4	96,1	97,4	98,5	…	…	…
Оборот розничной торговли, млрд.рублей	2585,4	103,0	100,2	100,8	95,7	100,3	95,5
Объем платных услуг населению, млрд.рублей	751,3	100,3	100,7	100,2	99,2	100,5	99,5
Внешнеторговый оборот, млрд.долларов США	51,15)	117,96)	99,57)	125,38)	100,36)	104,27)	83,48)
в том числе: экспорт товаров	30,6	120,7	105,8	125,7	96,4	109,9	76,5
импорт товаров	20,4	113,9	91,4	124,7	106,6	97,1	95,9
Инвестиции в основной капитал, млрд.рублей	9681,79)	104,22)			99,43)		
Индекс потребительских цен		102,7	100,2	103,9	106,1	100,4	107,4
Индекс цен производителей промышленных товаров4)		107,6	101,2	107,5	102,8	100,4	104,0
Реальные располагаемые денежные доходы10)		98,7	99,8	98,7	94,0	100,8	94,4
Среднемесячная начисленная заработная плата работников организаций:							
номинальная, рублей	3827510)	107,110)	100,510)	107,010)	106,5	99,8	107,7
реальная		104,310)	100,310)	103,010)	100,4	99,4	100,3
Общая численность безработных (в возрасте 15-72 лет), млн.человек	3,9	94,1	101,1	93,3	96,4	102,1	100,9
Численность официально зарегистрированных безработных (по данным Роструда), млн.человек	0,7	84,9	96,6	85,1	91,5	96,7	100,6
"1) Предварительная оценка. 2) Январь-сентябрь 2017г. в % к январю-сентябрю 2016 года. 3) Январь-сентябрь 2016г. в % к январю-сентябрю 2015 года. 4) По видам деятельности ""Добыча полезных ископаемых"", ""Обрабатывающие производства"", ""Обеспечение электрической энергией, газом и паром; кондиционирование воздуха"", ""Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений"" ОКВЭД2. 5) Данные за сентябрь 2017 года. 6) Сентябрь 2017г. и сентябрь 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 7) Сентябрь 2017г. и сентябрь 2016г. в % к предыдущему месяцу, в фактически действовавших ценах. 8) Январь-сентябрь 2017г. и январь-сентябрь 2016г. в % к соответствующему периоду предыдущего года, в фактически действовавших ценах. 9) Данные за январь-сентябрь 2017 года. 10) Оценка."							
